FID,osm_id,amenity,name,short_name,official_name,alt_name,old_name,operator,operator-type,emergency,capacity,wheelchair,ref-FR-FINESS,type-FR-FINESS,ref-FR-NAF,ref-FR-SIRET,contact-website,url,phone,contact-phone,fax,contact-fax,email,contact-email,addr-housename,addr-housenumber,addr-street,addr-city,addr-postcode,wikidata,wikipedia,description,opening_hours,source,note,osm_type,osm_version,osm_timestamp,healthcare-speciality,the_geom,osm_original_geom
hospitals_point.63234971,63234971,hospital,Clinique Maussins-Nollet,,,,,,,,,,750301160,128,,,,,+33 1 42 03 47 37,,+33 1 40 03 12 00,,groupe@maussins.com,,,,,,,,,,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2010,,way,6,2023-08-15T15:57:09Z,,POINT (267665.90593644045 6254067.910085083),"SRID=3857;POLYGON((267631.2807430897 6254044.981723609,267640.0527189642 6254042.155048102,267662.0717142431 6254035.046048019,267678.9811448946 6254029.595818665,267674.3502540775 6254044.558568532,267672.17952400714 6254051.379830921,267672.8251770537 6254051.616797952,267676.43192855536 6254062.618845957,267679.72698548285 6254061.450935567,267690.9034623585 6254065.936389388,267687.6306693292 6254073.807097122,267688.7661281353 6254072.977710372,267692.78476175293 6254074.501073856,267693.0074007345 6254076.125995207,267694.14285954065 6254075.093493059,267697.4824442644 6254076.549151859,267697.6160276534 6254077.852474485,267698.78488230665 6254076.887677197,267702.057675336 6254078.106368524,267702.11333508143 6254079.663585476,267703.40464117465 6254080.171373675,267696.8813190141 6254101.430800236,267694.5658736056 6254100.296737119,267694.2875748786 6254100.923010759,267694.0426719989 6254100.753747611,267693.21890776703 6254101.718547616,267689.4674409273 6254100.449073949,267689.4451770291 6254098.959558418,267689.03329491324 6254098.891853172,267688.0425514452 6254099.755095089,267684.49145968887 6254098.485621716,267684.36900824896 6254097.013032838,267684.05731367477 6254096.877622379,267683.20015359565 6254097.89320087,267679.51547845034 6254096.572948855,267679.3930270105 6254095.100360314,267677.9792694774 6254095.878970314,267674.20553873957 6254094.406381889,267673.9717678089 6254093.086130418,267671.5895307059 6254095.523517913,267644.2939915634 6254084.775321393,267631.2807430897 6254044.981723609))"
hospitals_point.1154027587,1154027587,hospital,Centre kinésithérapeute,,,,,,,,,,,,,,,,,,,,,,,,,Échavanne,,,,,,,,way,1,2023-03-13T13:16:33Z,community,POINT (749480.0735690674 6050087.483648865),"SRID=3857;POLYGON((749466.1862064264 6050092.64558349,749480.2681220117 6050076.250748338,749493.8157040412 6050086.712368381,749479.889635743 6050096.959149122,749473.1102787537 6050092.64558349,749469.8040898772 6050095.339495875,749466.1862064264 6050092.64558349))"
hospitals_point.10246862409,10246862409,hospital,Toulouse Hypnose Médicale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,node,5,2026-01-08T08:05:29Z,,POINT (158554.26543210118 5398181.608848523),
hospitals_point.326895276,326895276,hospital,Centre Hospitalier du Ternois,,,,,,,,,,620000067,355,,,,,,,,,,,,,,,,Q53580542,,,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2015,,way,8,2022-08-18T20:49:33Z,,POINT (258554.45130557212 6512164.17764599),"SRID=3857;POLYGON((258304.343811128 6512076.50116751,258363.66596777175 6512021.235567309,258427.67467497787 6511970.78813678,258457.53056240862 6512006.886820496,258539.962645341 6511940.362724317,258543.74750802803 6511936.522462188,258550.76063594798 6511925.5253577605,258549.87008002162 6511925.0016864855,258553.54362321785 6511919.415861611,258556.40453413123 6511916.81496319,258560.8127859666 6511919.503140096,258629.97558559646 6511960.541585502,258627.70466798433 6511968.88545424,258628.16107789654 6511975.029898516,258629.29653670266 6511979.358941541,258636.77720648397 6511992.7475687675,258642.45450051437 6511997.966869992,258651.07062910177 6512003.62257135,258659.90939667076 6512007.026467551,258668.06911534592 6512008.161099925,258676.2399659702 6512007.934173441,258683.7428996496 6512006.939188141,258689.9211313887 6512004.617556246,258694.3293832241 6511998.158884479,258749.06517684713 6512033.489626243,258738.8794434395 6512047.541667711,258719.83267856482 6512064.997653052,258654.73304034892 6512124.348278483,258645.93880057626 6512132.203540196,258599.74121189702 6512174.447519878,258633.5823370982 6512225.769008297,258643.0444938156 6512240.257785391,258652.61797002383 6512254.222895744,258680.77066924548 6512298.370255765,258721.43567923227 6512358.263709235,258755.37699197512 6512410.092582172,258753.09494241385 6512415.277232982,258809.54505619511 6512503.085111844,258781.00273875572 6512491.144582162,258731.3097180656 6512470.353437801,258701.04194851892 6512457.592484206,258676.5516605444 6512440.362609525,258604.66153339008 6512389.336554708,258571.32134589748 6512358.263709235,258544.52674446357 6512331.747142872,258497.37180816353 6512285.085873167,258464.32105134704 6512252.372517269,258455.0147419167 6512243.173000233,258367.50649020408 6512151.859183272,258319.2049631489 6512101.742622465,258304.343811128 6512076.50116751))"
hospitals_point.439029055,439029055,hospital,Clinique Saint-Germain,,,,,,,,,,190011601,,,,,,,,,,,,,,,,,,,,,Le ministère des solidarités et de la santé - 08/2018,,way,4,2024-07-31T08:45:20Z,,POINT (171424.4681073009 5648141.0341242915),"SRID=3857;POLYGON((171257.17742940137 5648028.573611932,171351.3425866634 5648004.684352504,171360.98285456613 5648048.184009794,171366.51543325855 5648075.68916483,171429.61132064016 5648073.826011603,171434.7654130639 5648086.283882465,171448.0680922137 5648096.768086273,171454.39103929076 5648098.599665302,171491.12647125253 5648104.25229948,171508.592499358 5648109.731252758,171547.33168215404 5648122.868122629,171595.54415361662 5648148.30507305,171590.2230819567 5648170.584174389,171618.82105914148 5648182.189539613,171606.85421388122 5648224.932149935,171447.18866823643 5648238.211295568,171437.3257613521 5648220.763670685,171375.08703404965 5648228.263776781,171335.04541321128 5648171.847342668,171310.8000281165 5648153.84721146,171290.20592231976 5648130.083935521,171269.13314271256 5648106.63651217,171262.22020233434 5648073.826011603,171257.17742940137 5648028.573611932))"
hospitals_point.12886378395,12886378395,hospital,Unité de Soins de Longue Durée,USLD,,,,,,,,,,362,,,,,,,,,,,,,,,,,,,,,,node,1,2025-06-04T10:18:45Z,,POINT (342364.6301436858 5481367.642442226),
hospitals_point.27514807,27514807,hospital,Centre Chirurgical Marie Lannelongue,,,Hôpital Marie Lannelongue,,Groupe hospitalier Paris Saint-Joseph,private,,,yes,920000684,365,,,,,+33 1 40 94 28 00,,,,,,,133,Avenue de la Résistance,Le Plessis-Robinson,92350,,,,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2010,,way,18,2025-07-20T16:52:39Z,intensive;cardiology,POINT (253076.85447823853 6238347.634808296),"SRID=3857;POLYGON((252860.99882252218 6238224.420909276,253086.0311731608 6238155.254581928,253131.4829212517 6238152.416307953,253197.0278374308 6238160.981816237,253218.4345755103 6238163.786304064,253232.95063710975 6238177.724284434,253237.5703959777 6238196.071769892,253238.87283401997 6238202.120028861,253248.51310192267 6238253.2431946425,253249.37026200176 6238274.716367765,253247.73386548707 6238283.586105029,253220.46059024276 6238391.29079791,253219.68135380722 6238401.968420043,253219.26947169128 6238491.546089729,253219.091360506 6238570.227218929,253215.90762306933 6238577.069825335,253207.97054337573 6238577.441522631,253153.41286093797 6238555.900001669,253091.64167549676 6238525.623697671,253055.2847298037 6238534.409221178,252998.64537288807 6238566.087867115,252986.90116660937 6238572.660145017,252860.99882252218 6238224.420909276))"
hospitals_point.669397984,669397984,hospital,Polyclinique de Navarre,,,,,,private,,,,640780946,365,,,,,+33 5 59 14 54 54,,+33 5 59 14 55 54,,,,,,,,,,,,,,,way,4,2021-05-28T22:50:28Z,,POINT (-39006.391138648345 5361468.930785768),"SRID=3857;POLYGON((-39151.64377334644 5361401.5182305,-39122.44467091137 5361398.626166819,-39089.917115701566 5361395.412763782,-39086.97828114463 5361395.122027368,-39045.11102065728 5361390.990510942,-39042.11652635494 5361390.6997746695,-39008.68728326972 5361387.394562954,-39006.99522700966 5361387.226242018,-38929.38327802859 5361363.799057892,-38922.169775025184 5361360.983515242,-38913.46459084515 5361361.014118961,-38905.460719457114 5361364.747773538,-38895.15253460966 5361386.614165913,-38864.6509941323 5361451.417947155,-38853.37432971494 5361471.494204336,-38891.66823454783 5361498.731878668,-38891.367671922686 5361500.154972835,-38913.98779245188 5361515.457074423,-38974.256164767365 5361555.365073873,-39103.37564213848 5361590.835594499,-39130.11458382702 5361462.940366897,-39117.323974334875 5361442.542786307,-39151.64377334644 5361401.5182305))"
hospitals_point.897730702,897730702,hospital,Centre de post-cure la Croix Bleue,Croix Bleue,,,,,,,,,070784897,109,,,,,,,,,,,,,,,,,,Etablissement de réadaptation fonctionnelle,,,,way,2,2022-02-23T13:38:14Z,physiatry,POINT (489631.3091160216 5522000.209367529),"SRID=3857;POLYGON((489591.7811652009 5522024.851562595,489594.6086802671 5522010.121212208,489602.24519733543 5521975.64667965,489608.5792763616 5521959.655149842,489632.6910780674 5521963.049649443,489656.24628231925 5521968.764245665,489665.3076888698 5521983.603527226,489662.0348958405 5522007.73882162,489667.82350936177 5522008.548522925,489665.41900836065 5522037.573247981,489607.41042170825 5522029.974491294,489591.7811652009 5522024.851562595))"
hospitals_point.32617022,32617022,hospital,Hôpital Désandrouins,,,,,,,,,,550003362,355,8610Z,,,,+33 3 29 83 84 85,,,,,,,,Avenue d'Étain,Verdun,55100,Q60847167,fr:Centre hospitalier intercommunal de Verdun - Saint-Mihiel,,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre ; mise à jour :2006,,way,5,2020-01-24T20:45:46Z,,POINT (602744.9481282544 6301938.356396799),"SRID=3857;POLYGON((602318.6508847267 6302162.029795621,602330.9628204083 6301663.240215283,602410.8011592051 6301653.350514789,602599.3541127108 6301637.145729422,602626.9947422749 6301541.909201137,602636.557086534 6301486.265693494,602842.7096515341 6301540.973011826,602854.208954933 6301537.27932048,602861.2332148021 6301525.636543591,603011.4477356785 6301568.258717401,603045.7564027411 6301705.097096769,603038.0196981309 6301718.884890944,603048.7397650942 6302019.787837144,603038.732142872 6302055.024671212,603035.0029399304 6302088.610447727,603038.5762955849 6302153.773704424,603178.1709370395 6302144.002588376,603232.962390408 6302179.835743548,603184.248981237 6302357.556825794,602797.090924207 6302316.650003383,602454.260288411 6302143.900451335,602424.7606233507 6302131.371650273,602318.6508847267 6302162.029795621))"
hospitals_point.41866491,41866491,hospital,Centre Hospitalier Spécialisé de Blain,C.H.S.,,Hôpital Pont Piétin,,,,no,,yes,440000180,292,,,,,+33 2 40 51 51 51,,,,,,,,,Blain,44130,,,,,"Union européenne - SOeS, CORINE Land Cover, 2006.",,way,7,2024-01-22T20:33:35Z,,POINT (-202663.1237516023 6018637.547373921),"SRID=3857;POLYGON((-203163.34724158788 6018462.306707102,-203154.9871478293 6018445.593032579,-203048.0981727696 6018318.389030306,-203040.02750968706 6018307.389471063,-202993.7631293134 6018244.339871974,-202959.32087886197 6018200.160967153,-202948.37817291697 6018186.115317107,-202926.9380389902 6018147.69983967,-202918.210590912 6018132.0735326465,-202906.27714149898 6018095.0579042295,-202905.96544692473 6018056.231182954,-202914.63723525754 6017925.45985152,-202912.96744289564 6017913.884493918,-202904.18433507203 6017852.895952155,-202831.32572834782 6017852.599572603,-202792.5197538573 6017927.847373863,-202810.60917111122 6018128.121678651,-202835.21077857653 6018156.854991557,-202880.29517234783 6018161.333774427,-202880.595734973 6018250.909918452,-202867.7494657354 6018291.219485695,-202835.21077857653 6018286.147846813,-202834.01966002505 6018323.460688077,-202822.3756412881 6018325.848320202,-202819.38114698572 6018347.057108935,-202801.16927829193 6018337.802957151,-202799.97815974048 6018271.805663332,-202792.50862190823 6018261.66241129,-202787.43245312807 6018220.447338984,-202777.58067819284 6018176.861337387,-202755.7843218955 6018161.333774427,-202727.11955301627 6018165.812559612,-202724.13619066298 6018200.75375007,-202729.81348469344 6018221.352981692,-202775.78843439108 6018228.219403127,-202783.84796552453 6018263.457239115,-202679.58613044754 6018265.499062045,-202656.91035017296 6018272.464316474,-202660.83992819794 6018426.7716623675,-202630.98404076722 6018461.104638793,-202599.32477758557 6018449.759098182,-202587.98132147372 6018435.13671074,-202528.26954661225 6018448.573498283,-202530.061790414 6018380.796973883,-202596.0408526072 6018379.891314493,-202597.7997005617 6018304.623117046,-202550.06590290956 6018302.564818499,-202542.59636507733 6018348.539091459,-202504.68094651314 6018348.242694934,-202501.24117424764 6018399.173646717,-202493.62692107738 6018409.679324883,-202486.46907781938 6018430.0649875365,-202412.4193525437 6018459.9190373365,-202354.48868953486 6018433.63824676,-202237.45850886387 6018450.928231583,-202211.42087996734 6018456.592767453,-202207.59148948407 6018601.4513585875,-202187.88793961366 6018593.08614948,-202140.10961416518 6018592.493339692,-202141.01130204057 6018655.183199596,-202092.63185134184 6018654.293978548,-202089.34792636344 6018716.704344096,-202005.7469887777 6018717.00075324,-201976.49222659724 6018711.615988738,-201983.95063248038 6018749.8363621775,-201981.0785896179 6018820.497565963,-201986.04343890728 6018820.299957508,-202093.23297659212 6018816.13371355,-202124.27998257437 6018817.02295122,-202202.21475807874 6018814.042358642,-202196.53746404828 6018861.205004681,-202200.40025037882 6018984.267127475,-202328.39540089294 6018956.420319731,-202465.15139533248 6018965.2140388135,-202460.453712821 6018982.850906823,-202524.38449638354 6018995.876852021,-202581.76969388747 6019036.898003474,-202585.32078564377 6019038.676524271,-202603.47699459217 6019045.313044924,-202708.2175034796 6019069.389001276,-202723.89128778328 6019071.52982143,-202867.7494657354 6019147.858639865,-202865.95722193364 6018975.275777037,-202947.47648504155 6018963.320259604,-203093.19369848995 6018948.087702776,-203099.0268398075 6018920.059868256,-203083.03022898055 6018917.935553124,-203069.89452906692 6018905.107335616,-203056.7588291533 6018896.149002442,-203046.30592896783 6018882.118690446,-203065.41948553702 6018854.338081085,-203078.85574807576 6018826.574028278,-203083.63135423083 6018808.9539460605,-203083.93191685595 6018785.965556271,-203081.27138102596 6018688.594923231,-203099.07136760384 6018563.676246202,-203106.3182664545 6018512.760793244,-203152.83868165698 6018471.610392124,-203163.34724158788 6018462.306707102))"
hospitals_point.11235977869,11235977869,hospital,53-MSG-RDJ-OUEST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,node,2,2024-02-23T14:09:45Z,,POINT (-134309.77089325254 6127743.040087089),
hospitals_point.8399480411,8399480411,hospital,Hôpital de jour,,,,,,,,,yes,620032383,355,,,,,,,,,,,,,,,,,,,,,,node,4,2023-03-25T09:11:19Z,,POINT (309556.6722685321 6496524.259853516),
hospitals_point.44088647,44088647,hospital,Polyclinique du Grand Sud,,,,,Hegagone Santé Méditerranée,private,yes,,,300788502,365,,39328524200037,,,+33 4 66 04 33 04,,+33 4 66 04 33 33,,,,,,,,,,,,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre;mise à jour : 2009,,way,9,2024-12-17T22:03:31Z,,POINT (484818.4886277779 5437032.820763546),"SRID=3857;POLYGON((484650.85443439236 5436890.328306966,484654.51684563945 5436877.168861346,484905.9096516979 5436930.5781230815,484902.54780307587 5436955.770987463,484921.59456795064 5436961.108859796,484932.42595440487 5436973.450772987,484945.02732076263 5436965.675365748,484953.04232409975 5436967.896910004,484909.9616811628 5437141.240723231,484905.25286670227 5437160.185937206,484900.54405224166 5437179.594022547,484845.08468192845 5437175.7525143325,484732.6408642781 5437162.129829447,484724.60359704285 5437161.157883276,484748.69313485053 5437045.111333168,484697.0186272243 5437006.527181874,484695.0371402882 5436980.948493324,484715.2527598163 5436905.585882338,484650.85443439236 5436890.328306966))"
hospitals_point.219765740,219765740,hospital,Centre de Réadaptation Spécialisé Saint-Luc,,,,,,,,,,570000380,,,,,,,,,,,,,8,Rue du Moulin de France,Abreschviller,57560,,,,,Le ministère des solidarités et de la santé - 03/2019,,way,7,2022-06-11T11:13:01Z,,POINT (792900.9474241099 6211922.141025228),"SRID=3857;POLYGON((792667.621922883 6211882.730237636,792724.6954258127 6211852.431018962,792726.6880446979 6211851.38680101,792782.8042000068 6211821.155062728,792785.1975690587 6211819.858216192,792805.8473346009 6211839.967780819,792890.7061824326 6211844.110963362,792902.5839721003 6211844.683598509,793010.8087810496 6211798.704487662,793101.5007701989 6211765.407682451,793120.4584794809 6211813.576092274,793121.3379034582 6211879.277569687,793108.8812524384 6211918.250693231,793083.5783321811 6211957.914535293,793047.4328935205 6211995.2374533815,793032.5828734486 6212012.618940486,792990.9939116883 6212030.185731493,792945.6980108846 6212039.617580571,792890.9956131087 6212041.790275861,792832.2968456134 6212041.790275861,792774.3327867574 6212038.893348932,792752.9371806269 6212041.588164647,792677.9078438323 6211995.927996278,792667.621922883 6211882.730237636))"
hospitals_point.51266521,51266521,hospital,Hôpital des Diaconesses,,,,,,,,,limited,750150260,365,,,,,,,,,,,,,,,,Q15989047,fr:Hôpital des Diaconesses de Reuilly,,,,,way,10,2024-02-24T11:50:25Z,,POINT (266267.71987080196 6248535.625943151),"SRID=3857;POLYGON((266100.5264251914 6248469.447367831,266115.5434244994 6248450.570177606,266132.94266091037 6248428.749821968,266144.19706142956 6248437.055082489,266151.9894257851 6248442.755439126,266169.4109260942 6248455.610856903,266171.26996159053 6248456.980974946,266192.7768872118 6248472.914956631,266213.5936319901 6248446.442912228,266215.34134799556 6248447.677708629,266234.0096266016 6248460.837604708,266251.7205575868 6248473.1517676255,266314.5938059868 6248518.298213086,266327.6070544605 6248502.719363765,266332.51624400454 6248505.916323996,266340.74275437417 6248511.599811824,266364.286826677 6248527.635387322,266375.15160897834 6248535.094985006,266388.43202423 6248544.14461913,266393.062915047 6248547.290849334,266412.2543952598 6248560.603137371,266384.7696129829 6248598.155066439,266379.025527258 6248605.885371598,266346.72061102977 6248650.136006912,266335.84469677927 6248642.135014827,266302.61582877743 6248617.658453835,266297.99606990954 6248614.2584672,266276.4891442883 6248598.493372863,266240.944830878 6248572.426902491,266236.8705375149 6248569.44981558,266221.70882286894 6248558.319579489,266199.9235985207 6248542.3516067425,266180.5094793263 6248528.109012377,266177.4593252786 6248525.876208781,266171.2588296414 6248521.342942687,266147.7481531859 6248504.123319698,266143.417824994 6248500.960190399,266128.122526959 6248489.728553666,266126.4082068008 6248488.476836037,266124.78294223524 6248487.2758638915,266120.78657251573 6248484.400297472,266115.4766328049 6248480.526741901,266108.2742617506 6248475.181576419,266100.5264251914 6248469.447367831))"
hospitals_point.2297317811,2297317811,hospital,Centre de réadaptation cardiaque Léopold Bellan,,,,,Fondation Léopold Bellan,,,,,600101943,129,,,,,+33 3 44 75 50 00,,+33 3 44 75 50 04,,cardio.ollencourt@fondationbellan.org,,,470,Rue de Choisy,,,,,,,,,node,4,2019-07-10T09:26:46Z,,POINT (332988.0447188304 6356379.838334471),
hospitals_point.231231601,231231601,hospital,Hôpital Psychiatrique Erasme,,,,,,,no,,,920002177,292,,,,,,,,,,,,143,Avenue Armand Guillebaud,,,,,,,,,way,6,2025-04-16T16:53:54Z,psychiatry,POINT (257943.56906166545 6231814.732566458),"SRID=3857;POLYGON((257722.3655132608 6231789.87392452,257759.2679244587 6231743.904863538,257769.2421508338 6231731.463041536,257777.53545289792 6231739.313035656,257787.086665208 6231730.129387342,257799.68803156578 6231716.06694513,257800.6008513903 6231715.054045028,257820.82760286742 6231693.242958883,257819.63648431594 6231691.453506938,257824.9909518231 6231685.544941868,257840.60907638137 6231668.325718566,257848.82445480194 6231667.869916072,257865.08823240676 6231682.793240112,257865.83407299512 6231686.676009721,257864.42031546202 6231699.185292587,257855.93777026358 6231711.880292164,257848.5238921768 6231722.954669017,257847.0322110002 6231728.1879923735,257852.25309511833 6231732.881104452,257864.8878573234 6231720.135428418,257878.90298121425 6231706.02235782,257873.08097184577 6231701.464313718,257875.24056996714 6231685.781284391,257881.21842662274 6231679.805196883,257836.87987343982 6231634.123717889,257877.32224444498 6231579.968018562,257949.73557320604 6231658.635700426,257990.01096497502 6231613.325727635,258092.90357031522 6231709.837611429,258189.3173812913 6231841.819432001,257880.31673874735 6232051.124052634,257722.3655132608 6231789.87392452))"
hospitals_point.626236762,626236762,hospital,Établissement public de santé mentale Étienne Gourmelen,,,,,,,,,,290000918,292,,,,,+33298986600,,,,,,,,,,,,,,,Le ministère des solidarités et de la santé - 03/2019,,way,10,2025-12-14T18:34:22Z,,POINT (-454735.00107917626 6106711.734571942),"SRID=3857;POLYGON((-455528.41773262597 6106642.789470061,-455515.86089406454 6106529.997956042,-455475.44078695745 6106538.748395099,-455455.6593134436 6106545.253004816,-455436.1450067075 6106547.798288219,-455413.6362056691 6106547.7483806955,-455387.98819499026 6106543.506242131,-455377.6466142956 6106462.872736428,-455350.95220040344 6106251.036638318,-455090.998925503 6106282.061466469,-455085.43295096327 6106283.059586126,-455071.7406535957 6106272.579335507,-455067.2544781167 6106269.268909799,-454950.8476865942 6106278.734401781,-454951.0703255758 6106287.55112602,-454950.5025961728 6106291.0611829115,-454944.1907810448 6106294.9039482605,-454861.82548980677 6106330.104424323,-454837.26841013785 6106336.292802714,-454814.8041368958 6106288.382892925,-454845.10530228965 6106269.718062961,-454820.169736352 6106225.900787395,-454731.6484772732 6106261.733121363,-454697.4622616506 6106310.241756095,-454665.7584706726 6106367.916816766,-454655.8065081957 6106394.749909022,-454601.4603327905 6106522.694839785,-454588.73651499284 6106545.868530798,-454576.3800515147 6106561.655955555,-454563.0996362631 6106571.803841384,-454289.88821000914 6106706.322687866,-454278.7006011844 6106717.06964684,-454271.0863480142 6106733.040384716,-454251.52751348173 6106865.765020678,-454148.81301932683 6106882.035492057,-454081.6317066331 6106896.076700746,-453997.9305815056 6106924.358825892,-454026.2502599635 6107019.154534469,-454028.1872191033 6107067.21825531,-454023.6899116751 6107073.739902416,-454033.39697127236 6107080.294828226,-454162.8504071158 6107167.7719569355,-454204.4950286216 6107194.208259714,-454234.2062007143 6107211.660589808,-454263.6168101819 6107227.34941636,-454298.24830376776 6107244.21951212,-454309.1464819164 6107249.144122263,-454331.8445260891 6107258.244676148,-454340.95046043606 6107262.420619093,-454372.14218175627 6107213.889965324,-454391.76780798315 6107223.589419262,-454476.61552386585 6107168.387527563,-454532.69828332745 6107150.30307908,-454567.8752424181 6107153.896673906,-454569.5116389328 6107155.976301229,-454651.776742629 6107154.495606523,-454655.3612302325 6107138.074885734,-454659.3909957993 6107121.937024592,-454663.565476704 6107111.938220695,-454695.2136079365 6107037.039065122,-454697.7405603775 6107028.953588973,-454701.92617323133 6107020.75166313,-454753.8901115336 6106906.374710818,-454768.7401316055 6106883.449593789,-454785.7608817478 6106862.853641015,-454797.1822615032 6106846.500023892,-454804.12859772873 6106835.686357255,-454819.2791804256 6106829.564164339,-454836.2999305679 6106817.91870073,-454848.46715091163 6106810.8981574485,-454858.68628016644 6106808.9517045235,-454877.432482416 6106801.348896896,-454892.42721782584 6106790.518650833,-454915.9490262305 6106779.987871682,-454943.0441902895 6106775.146712145,-454940.3502586124 6106764.532770547,-454970.8072712934 6106755.13328777,-455004.5482089529 6106749.909508872,-455006.64101537986 6106760.656522421,-455063.3694278881 6106750.059234975,-455118.082957613 6106732.142029922,-455190.18459179974 6106709.766371397,-455188.403479947 6106703.111911715,-455181.7577063467 6106655.715671871,-455344.6292533263 6106660.490219802,-455413.1575318587 6106660.789668891,-455415.32826192916 6106680.719692777,-455450.3271098345 6106674.963604327,-455473.9157099336 6106664.516147301,-455528.41773262597 6106642.789470061))"
hospitals_point.13401570646,13401570646,hospital,Institut de Cancérologie de Bourgogne,ICB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,node,1,2025-12-24T15:30:09Z,,POINT (562403.6893630107 6001616.661819527),
hospitals_point.253873630,253873630,hospital,UMD Louis Crocq,,,,,,,no,,no,810009068,292,,,,,,,,,,,,,Chemin du Séminaire du Roc,,81000,,,,,,,way,7,2020-04-20T19:49:14Z,,POINT (243499.05265224256 5451975.050039116),"SRID=3857;POLYGON((243408.2819979132 5451906.783568595,243421.7961840955 5451891.192057779,243448.82455646014 5451861.028972147,243478.981006516 5451816.85073789,243491.4599214339 5451810.608010466,243511.20799910068 5451808.01202605,243526.80385976075 5451814.764677514,243536.67789859415 5451829.320753137,243560.60045716565 5451949.416982395,243577.34290858096 5451997.64443502,243585.03508539477 5452048.190043709,243574.11464334794 5452050.260704347,243556.96030981673 5452053.90754063,243562.67099969444 5452102.243710706,243560.60045716565 5452121.482442434,243553.8433640745 5452132.917530966,243530.96720871644 5452138.125136809,243516.4066193207 5452139.68587385,243494.5768671762 5452133.442927269,243477.42253364495 5452114.204170518,243433.7518974067 5452021.147876714,243409.8404707843 5451932.774629533,243408.2819979132 5451906.783568595))"
hospitals_point.22996358,22996358,hospital,Maternité Port Royal,,,,,,,,,,750100182,,,,,,,,,,,,,,,,,,,,,Le ministère des solidarités et de la santé - 10/2018,,way,21,2023-10-03T16:26:44Z,,POINT (260254.02673051524 6247461.920994143),"SRID=3857;POLYGON((260137.30828263192 6247326.691988207,260154.29563692692 6247317.102446078,260172.61882511154 6247306.565801187,260185.3983026546 6247299.242587018,260203.48771990844 6247288.841265994,260202.37452500057 6247286.879392243,260200.02568374484 6247282.938733405,260193.07934751932 6247271.370457958,260191.64332608806 6247268.968858895,260190.41881168936 6247267.057727733,260209.26520148068 6247256.910135866,260210.71235486097 6247256.233630172,260225.0169094279 6247248.606032231,260227.02066026218 6247252.090033988,260236.6052684195 6247268.004836928,260237.3956368041 6247269.273286907,260255.4516582108 6247258.872002676,260268.49830253178 6247251.227489728,260271.94920674633 6247257.096174937,260266.61700313733 6247260.326490438,260276.5467017161 6247276.9347288245,260258.96935411982 6247287.538987677,260265.7821069564 6247300.443390755,260268.59849007346 6247305.872378791,260270.24601853723 6247309.119625628,260273.78597834447 6247316.087680346,260279.20723754604 6247326.675075426,260281.70079413985 6247331.545958117,260259.71519470817 6247340.780347569,260265.0473983171 6247353.32966219,260254.43865084453 6247358.031431758,260264.83589128466 6247381.844750778,260263.57798103872 6247382.504353606,260266.984357457 6247389.912204291,260258.73558318918 6247393.49774165,260269.36659455992 6247418.528893798,260285.50792072495 6247411.814449105,260298.42098165696 6247441.598210322,260332.7741765158 6247426.951554869,260339.63145714867 6247424.008696432,260340.0767351118 6247424.769780416,260348.09173844897 6247421.2180557605,260349.09361386608 6247423.619697984,260362.1179942889 6247418.072243738,260361.70611217295 6247416.989814065,260367.24982281448 6247414.638912596,260367.89547586106 6247416.025775257,260368.46320526412 6247417.243508511,260375.60991657304 6247413.133659482,260377.0904658006 6247416.41477336,260378.28158435208 6247418.934804986,260395.81440415198 6247457.3273257855,260397.495328463 6247456.5831519235,260412.60138336362 6247488.971688491,260411.58837599747 6247491.508654813,260431.14721052983 6247534.112889354,260429.72232104765 6247537.732314149,260428.33082741272 6247541.284087651,260420.1711087376 6247544.531424725,260416.0856834255 6247546.155093731,260413.70344632253 6247547.119147349,260281.71192608893 6247600.074612003,260275.50029850262 6247602.560871594,260209.29859732793 6247629.013365741,260205.04619277955 6247627.7786886655,260192.61180565794 6247608.734240394,260169.08999725335 6247574.264912696,260153.4941365932 6247548.725903624,260149.41984323022 6247542.434186054,260137.67563695152 6247335.368249967,260137.30828263192 6247326.691988207))"
